"NRO_PROY","LIDER_PROY","COORD_CART_PROY","COD_LOC","COD_MOD","DET_COD_MOD","NOMB_IE","REGION","DEPARTAMENTO","PROVINCIA","DISTRITO","UBIGEO","UGEL","CUI","NOMB_PROY","COOR_WGS_ESTE","COOR_WGS_OESTE","FECHA_VIAB","COS_INV_PRE","PIM_2022","LATITUD","LONGITUD","CARTERA","NRO_PAQ","PAQUETE","BENEF_PRE","CAT_IE","CANT_AULA","SFL","FECHA_CORTE"
"31","ERIKA IZQUIERDO","JULIO PRADO","311083","598490","Primaria","","LIMA","LIMA","LIMA","LOS OLIVOS","150117","UGEL 02","2475674","","274487","8676529","20200105","31,509,066","17,325,297","-11.96447957","-77.07091881","CARTERA I","Paquete 3","LIMA 03","1861","COSTA","38","AFECTADO EN USO","20220520"
"31","ERIKA IZQUIERDO","JULIO PRADO","311083","744565","	Secundaria","","LIMA","LIMA","LIMA","LOS OLIVOS","150117","UGEL 02","2475674","","274487","8676529","20200105","31,509,066","17,325,297","-11.96447957","-77.07091881","CARTERA I","Paquete 3","LIMA 03","1861","COSTA","38","AFECTADO EN USO","20220520"
"32","OMAR CANDIOTTI","FRANZ SALAZAR","325202","1634021","","I.E. 1179 TOMAS ALVA EDISON","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2475599","MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL, PRIMARIA Y SECUNDARIA DE LA I.E. 1179 TOMAS ALVA EDISON DISTRITO DE SAN JUAN DE LURIGANCHO - PROVINCIA DE LIMA -
DEPARTAMENTO DE LIMA","280908","8669355","20200103","35,004,218","24,717,519","-12.02974541","-77.01246063","CARTERA III","Paquete 2","LIMA 02","1170","COSTA","44","AFECTADO EN USO","20220520"
"32","OMAR CANDIOTTI","FRANZ SALAZAR","325202","339655","Primaria","I.E. 1179 TOMAS ALVA EDISON","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2475599","MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL, PRIMARIA Y SECUNDARIA DE LA I.E. 1179 TOMAS ALVA EDISON DISTRITO DE SAN JUAN DE LURIGANCHO - PROVINCIA DE LIMA -
DEPARTAMENTO DE LIMA","280908","8669355","20200103","35,004,218","24,717,519","-12.02974541","-77.01246063","CARTERA III","Paquete 2","LIMA 02","1170","COSTA","44","AFECTADO EN USO","20220520"
"32","OMAR CANDIOTTI","FRANZ SALAZAR","325202","578443","	Secundaria","I.E. 1179 TOMAS ALVA EDISON","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2475599","MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL, PRIMARIA Y SECUNDARIA DE LA I.E. 1179 TOMAS ALVA EDISON DISTRITO DE SAN JUAN DE LURIGANCHO - PROVINCIA DE LIMA -
DEPARTAMENTO DE LIMA","280908","8669355","20200103","35,004,218","24,717,519","-12.02974541","-77.01246063","CARTERA III","Paquete 2","LIMA 02","1170","COSTA","44","AFECTADO EN USO","20220520"
"33","OMAR QUEZADA","GINO ZEVALLOS","297077","1496991","","","LIMA","LIMA","LIMA","CARABAYLLO","150106","UGEL 04","2475484","","276959.07","8692635.75","20200102","36,370,151","29,488,067","-11.819079","-77.04713863","CARTERA II","Paquete 1","LIMA NORTE 01","1771","COSTA","35","AFECTADO EN USO","20220520"
"33","OMAR QUEZADA","GINO ZEVALLOS","297077","1195452","Primaria","","LIMA","LIMA","LIMA","CARABAYLLO","150106","UGEL 04","2475484","","276959.07","8692635.75","20200102","36,370,151","29,488,067","-11.819079","-77.04713863","CARTERA II","Paquete 1","LIMA NORTE 01","1771","COSTA","35","AFECTADO EN USO","20220520"
"33","OMAR QUEZADA","GINO ZEVALLOS","297077","1496355","	Secundaria","","LIMA","LIMA","LIMA","CARABAYLLO","150106","UGEL 04","2475484","","276959.07","8692635.75","20200102","36,370,151","29,488,067","-11.819079","-77.04713863","CARTERA II","Paquete 1","LIMA NORTE 01","1771","COSTA","35","AFECTADO EN USO","20220520"
"34","WILLIAMS SANCHEZ","FRANZ SALAZAR","325301","762914","	Secundaria","I.E. RAMIRO PRIALE PRIALE","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2475512","MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL SECUNDARIO DE LA I.E. RAMIRO PRIALE PRIALE DISTRITO DE SAN JUAN DE LURIGANCHO - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA","283554","8676023","20200102","27,511,310","16,283,251","-11.9696547","-76.98772443","CARTERA III","Paquete 2","LIMA 02","1010","COSTA","19","PROPIEDAD","20220520"
"35","WILLIAMS SANCHEZ","FRANZ SALAZAR","338855","1700343","","","LIMA","LIMA","LIMA","SANTA ANITA","150137","UGEL 06 ","2475656","","286575","8668321","20200105","24,005,116","13,197,360","-12.03946099","-76.960496","CARTERA III","Paquete 4","LIMA 04","1458","COSTA","26","PROPIEDAD","20220520"
"35","WILLIAMS SANCHEZ","FRANZ SALAZAR","338855","527374","Primaria","","LIMA","LIMA","LIMA","SANTA ANITA","150137","UGEL 06 ","2475656","","286575","8668321","20200105","24,005,116","13,197,360","-12.03946099","-76.960496","CARTERA III","Paquete 4","LIMA 04","1458","COSTA","26","PROPIEDAD","20220520"
"35","WILLIAMS SANCHEZ","FRANZ SALAZAR","338855","705160","	Secundaria","","LIMA","LIMA","LIMA","SANTA ANITA","150137","UGEL 06 ","2475656","","286575","8668321","20200105","24,005,116","13,197,360","-12.03946099","-76.960496","CARTERA III","Paquete 4","LIMA 04","1458","COSTA","26","PROPIEDAD","20220520"
"36","ERIKA IZQUIERDO","JULIO PRADO","305925","1261668","","I.E. 3049 IMPERIO DEL TAHUANTINSUYO","LIMA","LIMA","LIMA","INDEPENDENCIA","150112","UGEL 02","2475363","MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL, PRIMARIA Y SECUNDARIA DE LA I.E. 3049 IMPERIO DEL TAHUANTINSUYO,  DEL DISTRITO DE INDEPENDENCIA - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA","276217","8674460","20191230","55,826,829","24,208,021","-11.98329502","-77.05518053","CARTERA I","Paquete 1","LIMA NORTE 01","2970","COSTA","62","AFECTADO EN USO","20220520"
"36","ERIKA IZQUIERDO","JULIO PRADO","305925","565234","	Secundaria","I.E. 3049 IMPERIO DEL TAHUANTINSUYO","LIMA","LIMA","LIMA","INDEPENDENCIA","150112","UGEL 02","2475363","MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL, PRIMARIA Y SECUNDARIA DE LA I.E. 3049 IMPERIO DEL TAHUANTINSUYO,  DEL DISTRITO DE INDEPENDENCIA - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA","276217","8674460","20191230","55,826,829","24,208,021","-11.98329502","-77.05518053","CARTERA I","Paquete 1","LIMA NORTE 01","2970","COSTA","62","AFECTADO EN USO","20220520"
"36","ERIKA IZQUIERDO","JULIO PRADO","305925","434258","Primaria","I.E. 3049 IMPERIO DEL TAHUANTINSUYO","LIMA","LIMA","LIMA","INDEPENDENCIA","150112","UGEL 02","2475363","MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL, PRIMARIA Y SECUNDARIA DE LA I.E. 3049 IMPERIO DEL TAHUANTINSUYO,  DEL DISTRITO DE INDEPENDENCIA - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA","276217","8674460","20191230","55,826,829","24,208,021","-11.98329502","-77.05518053","CARTERA I","Paquete 1","LIMA NORTE 01","2970","COSTA","62","AFECTADO EN USO","20220520"
"37","DENISSE HERRERA","GINO ZEVALLOS","319140","662866","Primaria","","LIMA","LIMA","LIMA","PUENTE PIEDRA","150125","UGEL 04","2475360","","270100","8690083","20191230","36,145,682","20,860,887","-11.84168825","-77.11024083","CARTERA II","Paquete 1","LIMA NORTE 01","1948","COSTA","38","AFECTADO EN USO","20220520"
